,Geohash,Latitude,Longitude,Tanggal
45,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
46,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
47,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
48,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
49,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
50,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
51,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
52,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
53,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
54,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
55,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
56,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
57,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
58,qrc6e50zw5,-0.9490111470222472,103.14094126224518,2019-10-14
59,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
60,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
61,w0qdfzgkkc,1.9329580664634705,99.26614701747894,2019-10-14
62,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
63,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
64,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
65,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
66,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
67,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
68,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
69,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
70,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
71,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
72,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
73,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
74,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
75,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
76,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
77,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
78,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
79,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
80,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
81,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
82,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
83,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
