,Geohash,Latitude,Longitude,Tanggal
7904,w0je24b7hc,0.586918294429779,97.73492753505708,2020-3-11
7905,w0v9392r29,4.44659560918808,97.80066311359406,2020-3-11
7906,w0re41pqf9,1.9402536749839785,100.6448346376419,2020-3-11
7907,w0re41pqf9,1.9402536749839785,100.6448346376419,2020-3-11
7908,w2svx8318z,3.780967891216278,108.26068818569183,2020-3-11
7909,qr55vz7x5s,-4.924769103527069,105.72639763355257,2020-3-11
7910,w0pgy9pqbb,0.6658342480659485,101.19407594203948,2020-3-11
7911,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-11
7912,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-11
7913,w20rxprkeh,1.358981430530548,101.91927015781404,2020-3-11
7914,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-11
7915,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-11
7916,w0re41pqf9,1.9402536749839785,100.6448346376419,2020-3-11
7917,w21uc9qkck,0.8426669239997864,103.78549754619598,2020-3-11
7918,w2svxd9frw,3.793450891971588,108.26200783252716,2020-3-11
7919,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-11
7920,w209psh2t5,0.1978585124015808,102.28877127170564,2020-3-11
7921,w0je24b7hc,0.586918294429779,97.73492753505708,2020-3-11
7922,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-11
7923,qrfrdqkbw5,-0.0534537434577941,104.51972544193268,2020-3-11
7924,qrfrdqkbw5,-0.0534537434577941,104.51972544193268,2020-3-11
7925,w20zcrwkyg,1.4043375849723816,102.3684972524643,2020-3-11
7926,w21m1tf3r2,0.9107092022895812,103.07713687419891,2020-3-11
7927,w21m1eg8se,0.8996102213859558,103.0787354707718,2020-3-11
7928,w20zcrwkyg,1.4043375849723816,102.3684972524643,2020-3-11
7929,w0v9392r29,4.44659560918808,97.80066311359406,2020-3-11
7930,w21m1eg8se,0.8996102213859558,103.0787354707718,2020-3-11
7931,w0je24b7hc,0.586918294429779,97.73492753505708,2020-3-11
7932,w0je24b7hc,0.586918294429779,97.73492753505708,2020-3-11
7933,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-12
7934,w0r1vxfvnv,1.7573270201683044,100.0895208120346,2020-3-12
7935,qrkvdtcdxb,-3.2199355959892277,108.04194867610931,2020-3-12
7936,w2051rxnc3,0.5697092413902283,101.3146036863327,2020-3-12
7937,w0n9dvxdy3,0.2943643927574157,99.2720478773117,2020-3-12
7938,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-12
7939,qre363kt0j,-2.5850191712379456,105.92537462711334,2020-3-12
7940,w2051rxnc3,0.5697092413902283,101.3146036863327,2020-3-12
7941,w0v2wmneu3,4.334758222103119,97.6665848493576,2020-3-12
7942,w0p5teyz9f,0.6371346116065979,100.09479939937592,2020-3-12
7943,w214rqgx1c,0.4337963461875915,102.97974050045012,2020-3-12
7944,w21n7021jf,1.1001911759376526,102.7883380651474,2020-3-12
7945,w0pgzkn29c,0.6812462210655212,101.2257045507431,2020-3-12
7946,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-12
7947,w0qgq091y9,1.9805940985679624,99.7575169801712,2020-3-12
7948,w2svrzc6f2,3.778398334980011,108.2720822095871,2020-3-12
7949,w20x9qh50x,1.3518735766410828,102.01357662677763,2020-3-12
7950,w0r1vxfvnv,1.7573270201683044,100.0895208120346,2020-3-12
7951,w0m21p1chs,1.4448979496955872,97.42935955524445,2020-3-12
7952,w20x9qh50x,1.3518735766410828,102.01357662677763,2020-3-12
7953,w20x9qh50x,1.3518735766410828,102.01357662677763,2020-3-12
