,Tanggal,Latitude,Longitude,WD10M,WD2M,T2M
3116,2019-10-28,-3.41214633,105.8243256,108.19,107.0,28.0
3117,2019-10-28,-3.490638256,105.7965851,108.19,107.0,28.0
3118,2019-10-29,-3.043791294,105.589386,135.56,134.94,27.79
3119,2019-10-29,-3.744642258,103.7531662,99.56,100.0,27.37
3120,2019-10-29,-2.890280962,105.201088,125.75,125.94,27.52
3121,2019-10-29,-4.547956467,104.2182846,132.81,124.06,28.39
3122,2019-11-15,-3.317797422,105.3900909,135.69,135.69,28.56
3123,2019-10-30,-3.60730648,105.1374664,112.88,112.69,27.31
3124,2019-10-30,-3.893506289,105.8190689,127.75,128.25,28.54
3125,2019-10-30,-3.082160711,105.2394257,116.56,116.5,27.16
3126,2019-10-30,-3.620152235,105.1492615,112.88,112.69,27.31
3127,2019-10-14,-3.386940241,105.1222,117.69,117.38,27.15
3128,2019-10-14,-3.373114586,105.3292389,126.19,126.19,27.23
3129,2019-10-14,-1.834874868,103.9628143,99.94,100.81,26.59
3130,2019-10-14,-3.30226326,105.4209976,126.19,126.19,27.23
3131,2019-10-14,-3.42736268,104.937912,117.69,117.38,27.15
3132,2019-10-30,-2.683779001,103.6260986,89.25,89.31,27.03
3133,2019-10-14,-2.960218668,105.1450806,122.62,122.56,26.94
3134,2019-10-30,-3.019130945,105.2771149,116.56,116.5,27.16
3135,2019-10-30,-3.022945642,105.2503662,116.56,116.5,27.16
3136,2019-10-30,-3.017801762,105.2223206,116.56,116.5,27.16
3137,2019-10-30,-3.415399551,104.4342804,101.56,101.62,27.76
3138,2019-10-30,-3.890315056,105.816803,127.75,128.25,28.54
3139,2019-10-30,-3.795854807,105.769455,127.75,128.25,28.54
3140,2019-10-30,-3.889033318,105.8257523,127.75,128.25,28.54
3141,2019-10-14,-3.494718552,103.4253769,111.5,127.06,26.31
3142,2019-10-30,-2.489064932,105.1888046,112.25,111.19,27.86
3143,2019-10-30,-3.780697823,105.7703171,127.75,128.25,28.54
3144,2019-10-30,-3.891542196,105.8309555,127.75,128.25,28.54
3145,2019-10-14,-1.814999104,103.9910126,99.94,100.81,26.59
3146,2019-11-27,-2.579991341,104.5408249,42.25,42.06,27.75
3147,2019-11-27,-2.892986298,105.6173096,57.19,56.69,28.58
3148,2019-11-27,-3.652704,105.7149658,70.12,70.31,28.45
3149,2019-10-31,-2.431650162,104.3366776,133.0,133.19,27.62
3150,2019-10-31,-3.337005615,105.5547867,139.94,140.62,27.99
3151,2019-09-19,-1.962277055,103.9926376,127.31,128.0,26.37
3152,2019-10-31,-3.81654048,105.4418793,143.0,143.81,28.95
3153,2019-10-31,-3.594848871,105.281601,117.06,116.94,27.91
3154,2019-10-31,-3.787479877,105.7770538,143.0,143.81,28.95
3155,2019-10-31,-3.799510002,105.7666779,143.0,143.81,28.95
3156,2019-10-31,-3.930033445,104.5213394,93.56,94.25,29.54
3157,2019-10-31,-3.745904684,103.7606049,157.25,157.19,27.64
3158,2019-10-31,-2.699207306,102.3328781,161.62,164.81,25.25
3159,2019-10-31,-3.024928808,105.2637558,116.25,115.62,27.57
3160,2019-10-31,-3.504760981,105.3429718,139.94,140.62,27.99
3161,2019-10-31,-3.081594944,105.2259521,116.25,115.62,27.57
3162,2019-10-31,-2.489223242,104.3047638,133.0,133.19,27.62
3163,2019-10-31,-2.8783319,105.1494141,116.25,115.62,27.57
3164,2019-10-31,-3.514761448,105.3444443,139.94,140.62,27.99
3165,2019-10-31,-3.643077612,104.6694489,84.38,84.19,28.27
3166,2019-10-31,-3.054969311,105.1990814,116.25,115.62,27.57
3167,2019-10-31,-4.473598003,104.0809021,130.56,111.75,29.4
3168,2019-11-17,-3.842361212,105.8332825,120.81,120.5,29.05
3169,2019-11-17,-3.413636923,105.4979935,119.75,119.56,28.49
3170,2019-09-25,-4.64770174,104.1511917,111.25,112.06,27.11
3171,2019-11-01,-3.786764383,105.7814331,154.12,155.12,29.39
3172,2019-11-01,-3.796450615,105.7786713,154.12,155.12,29.39
3173,2019-11-01,-3.778944492,105.8315887,154.12,155.12,29.39
3174,2019-11-01,-3.290438652,105.7544937,138.69,141.5,28.13
3175,2019-11-01,-3.366289377,105.8693008,138.69,141.5,28.13
3176,2019-11-01,-3.81614995,105.8652267,154.12,155.12,29.39
3177,2019-11-01,-3.78506422,105.7881851,154.12,155.12,29.39
3178,2019-11-01,-3.77742362,105.8423767,154.12,155.12,29.39
3179,2019-11-01,-3.649626493,105.7410049,138.69,141.5,28.13
3180,2019-11-01,-3.022261381,105.2621307,168.19,167.94,27.11
3181,2019-11-01,-3.786122084,105.7789154,154.12,155.12,29.39
3182,2019-11-01,-3.772831917,105.6203308,154.12,155.12,29.39
3183,2019-11-01,-3.746469975,105.5867081,138.69,141.5,28.13
3184,2019-11-01,-3.777648926,105.7923584,154.12,155.12,29.39
3185,2019-11-01,-3.290751457,105.7597885,138.69,141.5,28.13
3186,2019-11-01,-3.774593353,105.8412857,154.12,155.12,29.39
3187,2019-11-01,-3.362294674,105.8844299,138.69,141.5,28.13
3188,2019-11-01,-3.796399832,105.7773819,154.12,155.12,29.39
3189,2019-11-02,-2.412567854,104.6707993,172.69,174.0,26.76
3190,2019-11-02,-1.895380974,104.2067261,144.56,148.75,27.13
3191,2019-11-02,-3.857250452,105.632637,191.5,191.75,28.8
3192,2019-11-02,-2.757077694,105.4956741,175.5,172.12,27.65
3193,2019-11-02,-2.408658981,104.3026657,172.69,174.0,26.76
3194,2019-11-02,-2.013033152,104.0507736,160.56,165.69,26.11
3195,2019-11-02,-2.975471735,105.1021194,172.06,173.06,26.72
3196,2019-11-02,-2.826390505,105.2683182,172.06,173.06,26.72
3197,2019-11-02,-3.011782885,105.2792664,172.06,173.06,26.72
3198,2019-11-02,-3.251631975,104.7096405,161.62,161.06,26.71
3199,2019-11-02,-3.228725195,104.998703,172.06,173.06,26.72
3200,2019-11-02,-3.829892635,105.8808212,191.5,191.75,28.8
3201,2019-11-02,-2.784873247,104.5665207,158.69,158.12,26.5
3202,2019-11-17,-3.336741209,104.4452133,106.25,106.31,28.83
3203,2019-11-17,-2.42706871,104.3571091,92.12,92.19,27.68
3204,2019-11-17,-2.415302038,104.3407288,92.12,92.19,27.68
3205,2019-11-17,-3.305938244,104.9243851,117.62,117.5,28.47
3206,2019-11-17,-2.403584719,104.3424683,92.12,92.19,27.68
3207,2019-11-03,-3.41020298,104.8373566,147.12,147.38,27.19
3208,2019-11-18,-2.786892891,103.3704147,127.0,142.0,27.73
3209,2019-11-18,-2.466087818,105.5477219,105.69,104.94,28.11
3210,2019-11-18,-3.782690048,103.829071,107.81,109.56,27.1
3211,2019-11-18,-3.561021328,104.9240265,116.25,116.31,28.08
3212,2019-11-18,-3.525725126,103.6278381,102.12,102.38,28.18
3213,2019-11-18,-2.829679012,104.5283127,104.88,105.0,27.85
3214,2019-11-18,-3.64781642,104.671936,109.94,110.06,28.44
3215,2019-11-18,-2.161304474,104.3634949,89.19,89.19,27.52
3216,2019-11-18,-3.593435764,104.7901535,116.25,116.31,28.08
3217,2019-11-18,-2.630124807,104.0614777,90.38,90.31,27.31
3218,2019-11-18,-3.288393497,104.9448242,116.25,116.31,28.08
3219,2019-11-18,-3.247126818,103.5458527,96.38,96.31,27.88
3220,2019-11-27,-3.602634668,105.7591171,70.12,70.31,28.45
3221,2019-11-27,-4.063073635,105.6940994,82.0,80.44,28.99
3222,2019-11-27,-4.061746597,105.703476,82.0,80.44,28.99
3223,2019-11-27,-3.602737427,105.6927643,70.12,70.31,28.45
3224,2019-11-27,-2.700574398,103.9883423,37.5,38.5,27.7
3225,2019-11-03,-3.42314887,104.8721466,147.12,147.38,27.19
3226,2019-11-03,-3.40986371,104.8703156,147.12,147.38,27.19
3227,2019-11-03,-3.814306974,105.8660126,160.06,160.69,28.45
3228,2019-11-18,-3.929775476,104.5016708,115.44,115.5,29.25
3229,2019-11-18,-2.791481495,102.8848419,127.0,142.0,27.73
3230,2019-11-18,-2.850577116,103.6212616,96.38,96.31,27.88
3231,2019-11-04,-3.866645575,105.7922287,158.88,159.81,28.94
3232,2019-11-04,-3.872251511,105.6412048,158.88,159.81,28.94
3233,2019-11-04,-3.734409094,105.1432877,150.25,150.5,27.71
3234,2019-11-04,-3.822524071,105.5549927,158.88,159.81,28.94
3235,2019-11-04,-3.876393557,104.6088867,62.12,35.25,28.66
3236,2019-11-04,-3.908965111,105.8347092,158.88,159.81,28.94
3237,2019-11-04,-3.84201026,105.8743057,158.88,159.81,28.94
3238,2019-11-04,-4.031836987,105.7593079,158.88,159.81,28.94
3239,2019-11-04,-3.803476334,105.7746964,158.88,159.81,28.94
3240,2019-11-04,-4.116838932,105.7322388,158.88,159.81,28.94
3241,2019-11-04,-3.834474325,105.7856369,158.88,159.81,28.94
3242,2019-11-04,-3.064870119,104.0485382,187.88,187.94,26.88
3243,2019-11-28,-3.860633612,105.8145752,87.5,86.69,29.51
3244,2019-11-04,-3.422595263,104.8759842,150.25,150.5,27.71
3245,2019-09-18,-3.353592157,105.3725739,119.88,119.38,26.48
3246,2019-11-04,-3.0536623,104.053978,187.88,187.94,26.88
3247,2019-11-28,-2.327211857,104.2278061,60.12,59.69,28.01
3248,2019-11-04,-3.406762123,104.875145,150.25,150.5,27.71
3249,2019-11-04,-3.405099154,104.8634949,150.25,150.5,27.71
3250,2019-11-04,-3.728262424,105.6134262,153.31,155.19,27.92
3251,2019-11-20,-3.459121466,105.7969818,160.19,162.12,27.72
3252,2019-11-20,-3.457631826,105.807663,160.19,162.12,27.72
3253,2019-11-20,-4.013916969,104.1859741,101.88,102.25,27.93
3254,2019-11-20,-3.29744029,102.8596878,93.0,107.5,25.76
3255,2019-11-27,-2.316627979,104.2322464,42.25,42.06,27.75
3256,2019-09-24,-1.951222301,103.9393234,68.06,62.69,26.83
3257,2019-10-10,-3.469203234,105.2925873,116.31,116.06,26.65
3258,2019-10-10,-3.318222523,105.3138809,119.94,119.88,26.73
3259,2019-10-10,-3.136726141,105.3628922,131.38,132.88,26.83
3260,2019-11-23,-2.990391493,105.5116272,56.81,56.5,27.76
3261,2019-10-10,-3.308164597,104.0541458,107.62,107.81,27.23
3262,2019-09-23,-3.422379732,105.0744553,113.75,113.62,26.5
3263,2019-09-17,-3.029356718,104.0415649,119.25,119.12,26.26
3264,2019-11-25,-3.730673552,105.1517334,106.56,107.56,27.87
3265,2019-11-25,-3.601696253,105.2240677,106.56,107.56,27.87
3266,2019-11-25,-3.594380379,105.2572327,106.56,107.56,27.87
3267,2019-11-25,-2.891175747,105.605896,121.0,121.12,28.3
3268,2019-11-25,-2.360455751,104.5597305,144.12,143.44,27.65
3269,2019-11-25,-2.022698164,103.9898758,163.0,178.5,27.09
3270,2019-11-25,-1.899496317,104.2134781,130.88,134.62,27.66
3271,2019-11-11,-2.48323679,105.5596542,149.25,148.5,28.26
3272,2019-11-11,-3.403348684,104.8817139,136.38,136.56,28.85
3273,2019-11-11,-2.471376657,105.5612869,149.25,148.5,28.26
3274,2019-11-11,-2.457264185,105.4918137,149.25,148.5,28.26
3275,2019-11-11,-3.155777693,105.7661362,154.12,156.0,28.06
3276,2019-11-11,-3.407598972,105.783287,150.69,151.88,28.48
3277,2019-11-11,-2.537517071,105.4643555,149.25,148.5,28.26
3278,2019-11-11,-3.390366793,105.7500076,150.69,151.88,28.48
3279,2019-11-11,-2.539838314,105.4803848,149.25,148.5,28.26
3280,2019-11-11,-3.325876474,105.3815384,150.69,151.88,28.48
3281,2019-11-11,-3.405425549,104.8966675,136.38,136.56,28.85
3282,2019-11-06,-3.31876421,105.6747971,152.88,153.88,28.23
3283,2019-11-06,-3.408227682,105.5093918,152.88,153.88,28.23
3284,2019-11-06,-3.274478436,105.1497574,152.31,152.69,28.47
3285,2019-11-06,-3.896380186,105.7924652,157.81,158.44,29.03
3286,2019-11-06,-3.830479622,105.6772156,157.81,158.44,29.03
3287,2019-11-06,-3.833764076,105.7867584,157.81,158.44,29.03
3288,2019-11-06,-3.787868023,105.8399506,157.81,158.44,29.03
3289,2019-11-06,-3.839777708,105.6785965,157.81,158.44,29.03
3290,2019-11-06,-3.795814753,105.8511505,157.81,158.44,29.03
3291,2019-11-06,-3.82674861,105.8356705,157.81,158.44,29.03
3292,2019-11-06,-3.73192215,105.141243,152.31,152.69,28.47
3293,2019-11-06,-3.881152868,105.7985916,157.81,158.44,29.03
3294,2019-11-06,-3.85575676,105.8746262,157.81,158.44,29.03
3295,2019-11-06,-3.89030242,105.7972946,157.81,158.44,29.03
3296,2019-09-17,-3.53502512,104.6787796,111.0,110.88,26.14
3297,2019-09-17,-3.330322504,105.2032318,113.31,112.94,25.7
3298,2019-11-06,-2.33201623,104.9001007,219.5,218.44,28.05
3299,2019-09-17,-3.100793839,105.087677,124.25,124.19,25.63
3300,2019-11-06,-3.833323956,105.8492203,157.81,158.44,29.03
3301,2019-11-06,-3.827126503,105.6797409,157.81,158.44,29.03
3302,2019-11-07,-2.537584066,103.0983505,154.06,153.94,27.26
3303,2019-11-07,-3.322984695,105.6685028,148.69,150.31,28.35
3304,2019-11-07,-3.897520065,105.7955246,153.44,154.25,29.2
3305,2019-11-07,-2.687239885,105.584137,145.81,145.5,28.19
3306,2019-11-07,-3.963291883,105.6927643,153.44,154.25,29.2
3307,2019-09-17,-3.019277334,104.028511,119.25,119.12,26.26
3308,2019-09-08,-2.548725843,103.4578476,123.69,124.0,26.08
3309,2019-09-08,-3.274847746,104.5728531,116.75,116.69,26.02
3310,2019-11-29,-3.605301857,105.6980591,82.62,83.69,28.93
3311,2019-11-29,-3.486342907,105.7305298,82.62,83.69,28.93
3312,2019-11-29,-2.775198221,105.5685043,64.25,63.44,28.73
3313,2019-11-29,-3.444664001,105.7744141,82.62,83.69,28.93
3314,2019-11-29,-3.403019667,105.7548141,82.62,83.69,28.93
3315,2019-11-29,-3.431909084,105.7863541,82.62,83.69,28.93
3316,2019-11-29,-4.00136137,105.680809,90.94,90.38,29.56
3317,2019-11-29,-3.929037571,104.0289688,72.25,89.12,27.23
3318,2019-11-29,-3.922968626,104.0216522,72.25,89.12,27.23
3319,2019-11-29,-3.776131392,105.617363,90.94,90.38,29.56
3320,2019-11-29,-3.427014589,105.8344498,82.62,83.69,28.93
3321,2019-11-29,-3.273565531,105.3491287,82.62,83.69,28.93
3322,2019-11-29,-3.428768873,105.8267593,82.62,83.69,28.93
3323,2019-11-29,-3.739121914,104.9295883,84.25,84.5,28.52
3324,2019-11-30,-3.214713573,102.787674,131.81,144.06,24.98
3325,2019-11-30,-3.560535192,105.7502365,116.0,116.5,29.26
3326,2019-10-06,-2.783441305,103.3707733,117.56,119.0,26.71
3327,2019-10-05,-2.756489754,103.1328278,118.06,119.62,25.83
3328,2019-10-05,-2.389440298,104.3112946,114.38,114.56,26.27
3329,2019-12-20,-2.144757509,104.3832397,86.56,100.5,27.3
3330,2019-12-10,-3.433315992,105.8094177,196.69,197.19,27.37
3331,2019-12-10,-3.437583685,105.7785416,196.69,197.19,27.37
3332,2019-10-05,-2.909760952,103.2896957,118.06,119.62,25.83
3333,2019-12-13,-3.050956011,102.8609314,319.44,319.5,25.19
3334,2019-12-15,-3.473529816,105.0329666,209.56,209.5,27.09
3335,2019-12-16,-3.063704014,104.536087,191.69,191.62,26.09
3336,2020-07-03,-2.844458342,103.7926559,134.0,134.0,25.94
3337,2020-04-26,-2.994198084,105.5026321,126.5,126.12,27.39
3338,2020-01-01,-3.352533817,104.6187592,315.0,314.88,26.05
3339,2020-01-04,-3.477806568,104.8548889,321.88,321.44,26.52
3340,2020-01-07,-2.896173954,105.6949615,327.75,327.12,26.81
3341,2020-01-07,-3.178395987,104.2999268,284.69,284.69,26.89
3342,2020-01-07,-2.774549246,105.6818314,327.75,327.12,26.81
3343,2020-01-21,-2.5517416,105.4745941,168.25,168.5,26.96
3344,2019-09-29,-3.025961399,105.1925278,117.5,117.44,26.73
3345,2019-09-29,-3.319190264,105.3589325,111.19,110.25,26.83
3346,2019-09-29,-3.441880226,105.1422272,110.12,109.75,26.77
3347,2019-09-29,-3.614077091,105.7855759,111.19,110.25,26.83
3348,2020-01-18,-3.806630373,103.8204117,300.94,299.31,25.18
3349,2019-09-29,-2.920728683,103.5317688,93.88,93.75,27.0
3350,2020-01-21,-2.216866016,104.6423798,40.5,55.0,26.81
3351,2020-01-21,-2.760804653,105.6498718,179.25,179.12,26.95
3352,2020-01-21,-2.994550943,105.5088882,179.25,179.12,26.95
3353,2020-01-21,-4.068779469,105.0268707,218.31,218.19,27.35
3354,2020-01-21,-2.89601469,105.6962662,179.25,179.12,26.95
3355,2019-09-28,-3.397513866,105.0854111,117.06,116.88,26.37
3356,2019-09-28,-3.92628026,105.79776,106.94,106.38,27.46
3357,2020-01-28,-2.134342909,104.0267563,122.56,136.44,27.47
3358,2020-01-28,-2.039244652,103.8612976,122.56,136.44,27.47
3359,2020-01-30,-3.806079149,103.8197861,302.25,302.12,24.76
3360,2019-09-27,-3.76998353,105.6173477,115.25,114.31,27.28
3361,2020-02-01,-3.061307907,105.2775116,41.19,41.12,26.94
3362,2019-09-27,-1.848175049,103.9418335,132.25,132.5,26.56
3363,2019-09-26,-3.413968325,105.0845642,109.94,109.62,26.39
3364,2020-02-15,-3.069922209,105.3964996,216.5,217.81,27.8
3365,2020-02-15,-2.683767796,105.346138,202.5,187.44,28.32
3366,2020-02-15,-3.356422424,104.9393387,227.38,227.44,27.12
3367,2020-02-27,-3.580113649,104.9264984,187.75,187.38,26.94
3368,2020-02-27,-1.898254633,104.2014694,84.94,99.38,27.34
3369,2020-02-29,-2.419151068,104.7619781,141.94,141.44,27.44
3370,2019-09-25,-1.957139134,103.9356613,125.75,126.81,26.48
3371,2019-09-16,-1.966822743,103.9871674,148.75,151.56,25.33
3372,2019-09-22,-1.782106996,104.3016357,127.62,128.06,26.3
3373,2019-09-17,-1.779088736,104.275795,136.0,136.5,26.28
3374,2019-09-16,-3.381026983,105.2219315,116.69,116.56,25.76
3375,2019-09-17,-2.652431488,104.0333862,124.94,124.88,26.17
3376,2019-10-04,-3.011030197,105.1598663,126.0,126.0,25.9
3377,2019-10-04,-3.104103088,105.3328476,126.0,126.06,26.18
3378,2020-04-10,-3.052422524,105.283638,46.31,46.81,26.93
3379,2019-09-22,-2.78677845,103.3541336,118.69,118.56,25.9
3380,2019-10-03,-3.801848412,103.822197,118.94,120.19,24.63
3381,2020-04-17,-2.924741983,105.6743546,150.88,154.06,28.1
3382,2020-04-17,-3.005754232,104.8168182,173.44,173.69,27.8
3383,2020-04-17,-1.927588344,104.1819839,132.25,131.62,27.86
3384,2019-09-15,-3.627723217,105.3105392,128.62,128.31,24.64
3385,2019-09-22,-1.94319725,103.9764175,118.94,117.81,25.7
3386,2019-09-22,-1.948353291,103.9405594,118.94,117.81,25.7
3387,2019-09-22,-2.449988127,103.263092,122.5,122.62,25.89
3388,2019-09-15,-3.531033993,104.5034637,117.56,117.38,24.54
3389,2019-09-15,-3.005682468,104.447197,128.38,127.94,24.39
3390,2019-09-22,-2.483303785,103.3749771,122.5,122.62,25.89
3391,2019-09-22,-2.738492489,104.4528961,120.75,121.31,25.94
3392,2019-09-22,-3.718822002,102.9443817,109.44,110.62,24.89
3393,2019-09-15,-3.808866978,105.4583206,136.5,136.75,25.88
