,Hari,Bulan,Tahun,WD10M,WD2M,T2M
270,20,4,2016,175.69,183.31,23.66
271,20,4,2016,144.31,145.94,27.93
272,20,4,2016,144.31,145.94,27.93
273,20,4,2016,175.69,183.31,23.66
274,20,4,2016,128.94,129.06,29.98
275,20,4,2016,103.06,149.44,22.16
276,20,4,2016,115.94,119.5,25.36
277,20,4,2016,115.94,119.5,25.36
278,20,4,2016,115.94,119.5,25.36
279,20,4,2016,175.69,183.31,23.66
280,20,4,2016,55.94,55.88,29.03
281,20,4,2016,88.62,85.94,28.26
282,20,4,2016,88.12,81.75,27.73
283,20,4,2016,144.31,145.94,27.93
284,20,4,2016,175.69,183.31,23.66
285,20,4,2016,107.69,123.88,21.73
286,20,4,2016,128.94,129.06,29.98
287,20,4,2016,115.94,119.5,25.36
288,20,4,2016,103.06,149.44,22.16
289,20,4,2016,103.06,149.44,22.16
290,20,4,2016,76.25,77.81,26.16
291,20,4,2016,103.06,149.44,22.16
292,20,4,2016,226.12,226.19,29.37
293,20,4,2016,103.06,149.44,22.16
294,20,4,2016,167.25,222.94,25.65
295,20,4,2016,123.12,149.31,23.55
296,20,4,2016,125.12,122.56,27.51
297,20,4,2016,125.12,122.56,27.51
298,20,4,2016,111.44,112.69,27.56
299,20,4,2016,111.44,112.69,27.56
300,20,4,2016,113.25,116.94,28.24
301,20,4,2016,142.62,140.25,27.53
302,20,4,2016,85.38,86.75,29.42
303,20,4,2016,52.94,52.44,29.44
304,20,4,2016,113.25,116.94,28.24
305,20,4,2016,104.62,94.5,27.49
306,20,4,2016,51.75,50.75,28.96
307,20,4,2016,113.25,116.94,28.24
308,20,4,2016,104.62,94.5,27.49
309,20,4,2016,125.12,122.56,27.51
310,20,4,2016,109.69,111.62,27.28
311,20,4,2016,113.25,116.94,28.24
312,20,4,2016,111.44,112.69,27.56
313,20,4,2016,111.44,112.69,27.56
314,21,4,2016,61.69,61.69,29.5
315,21,4,2016,60.62,60.62,29.62
316,21,4,2016,60.62,60.62,29.62
317,21,4,2016,60.62,60.62,29.62
318,21,4,2016,60.62,60.62,29.62
319,21,4,2016,60.62,60.62,29.62
320,21,4,2016,60.62,60.62,29.62
321,21,4,2016,60.62,60.62,29.62
322,21,4,2016,60.62,60.62,29.62
323,21,4,2016,60.62,60.62,29.62
324,21,4,2016,60.62,60.62,29.62
325,21,4,2016,60.62,60.62,29.62
326,21,4,2016,60.62,60.62,29.62
327,22,4,2016,102.44,103.12,28.2
328,22,4,2016,141.56,139.94,28.22
329,22,4,2016,220.62,237.0,27.3
330,22,4,2016,110.31,137.44,27.31
331,22,4,2016,110.31,137.44,27.31
332,22,4,2016,116.25,117.62,29.25
333,22,4,2016,116.25,117.62,29.25
334,22,4,2016,298.06,274.19,21.76
335,22,4,2016,116.25,117.62,29.25
336,22,4,2016,110.31,137.44,27.31
337,22,4,2016,138.25,108.94,25.73
338,22,4,2016,130.81,132.56,28.23
339,22,4,2016,298.06,274.19,21.76
340,22,4,2016,103.81,102.06,27.32
341,22,4,2016,103.81,102.06,27.32
342,22,4,2016,102.44,103.12,28.2
343,22,4,2016,134.0,138.81,27.37
344,22,4,2016,102.44,103.12,28.2
345,22,4,2016,130.81,132.56,28.23
346,22,4,2016,142.31,140.31,28.31
347,22,4,2016,236.0,235.06,25.15
348,22,4,2016,142.31,140.31,28.31
349,22,4,2016,141.19,144.38,28.61
350,22,4,2016,116.25,117.62,29.25
351,22,4,2016,102.19,101.56,27.51
352,22,4,2016,102.19,101.56,27.51
353,22,4,2016,116.25,117.62,29.25
354,22,4,2016,130.81,132.56,28.23
355,22,4,2016,110.31,137.44,27.31
356,22,4,2016,110.31,137.44,27.31
357,22,4,2016,108.06,108.12,29.13
358,22,4,2016,201.25,199.06,25.76
359,22,4,2016,201.25,199.06,25.76
360,22,4,2016,235.56,231.94,24.4
361,22,4,2016,116.25,117.62,29.25
362,22,4,2016,116.25,117.62,29.25
363,22,4,2016,103.81,102.06,27.32
364,22,4,2016,103.75,104.0,28.15
365,22,4,2016,122.69,109.44,24.77
366,22,4,2016,270.25,270.25,29.06
367,22,4,2016,116.25,117.62,29.25
368,22,4,2016,116.25,117.62,29.25
369,22,4,2016,110.31,137.44,27.31
370,22,4,2016,102.44,103.12,28.2
371,22,4,2016,85.56,85.56,29.39
372,22,4,2016,141.56,139.94,28.22
373,22,4,2016,85.56,85.56,29.39
374,22,4,2016,85.56,85.56,29.39
375,22,4,2016,220.62,237.0,27.3
376,22,4,2016,116.25,117.62,29.25
377,22,4,2016,141.19,144.38,28.61
378,22,4,2016,134.0,138.81,27.37
379,22,4,2016,85.56,85.56,29.39
380,22,4,2016,130.81,132.56,28.23
381,23,4,2016,100.56,100.56,29.48
382,23,4,2016,100.56,100.56,29.48
383,23,4,2016,100.56,100.56,29.48
384,23,4,2016,100.56,100.56,29.48
385,23,4,2016,100.56,100.56,29.48
386,23,4,2016,100.56,100.56,29.48
387,24,4,2016,113.06,112.69,25.13
388,24,4,2016,110.81,110.44,27.65
389,24,4,2016,140.38,140.44,29.71
390,24,4,2016,110.62,110.62,30.0
391,24,4,2016,110.62,110.62,30.0
392,24,4,2016,110.62,110.62,30.0
393,24,4,2016,110.62,110.62,30.0
394,24,4,2016,122.44,122.19,26.76
395,24,4,2016,110.62,110.62,30.0
396,24,4,2016,113.06,112.69,25.13
397,24,4,2016,110.81,110.44,27.65
398,24,4,2016,110.62,110.62,30.0
399,24,4,2016,110.62,110.62,30.0
400,24,4,2016,110.62,110.62,30.0
401,24,4,2016,248.94,249.0,29.05
402,24,4,2016,110.62,110.62,30.0
403,24,4,2016,140.38,140.44,29.71
404,24,4,2016,110.62,110.62,30.0
405,24,4,2016,110.62,110.62,30.0
406,24,4,2016,110.62,110.62,30.0
407,24,4,2016,110.62,110.62,30.0
408,24,4,2016,110.62,110.62,30.0
409,24,4,2016,104.12,104.12,29.02
410,24,4,2016,110.62,110.62,30.0
411,24,4,2016,110.62,110.62,30.0
412,24,4,2016,110.81,110.44,27.65
413,24,4,2016,253.0,234.81,24.06
414,24,4,2016,253.0,234.81,24.06
415,24,4,2016,110.81,110.44,27.65
416,24,4,2016,117.5,118.0,27.27
417,24,4,2016,173.69,169.12,26.43
418,24,4,2016,173.69,169.12,26.43
419,24,4,2016,117.5,118.0,27.27
420,24,4,2016,253.0,234.81,24.06
421,24,4,2016,253.0,234.81,24.06
422,24,4,2016,253.0,234.81,24.06
423,24,4,2016,253.0,234.81,24.06
424,24,4,2016,268.88,269.69,26.01
425,24,4,2016,268.88,269.69,26.01
426,24,4,2016,253.0,234.81,24.06
427,24,4,2016,253.0,234.81,24.06
428,24,4,2016,122.44,122.19,26.76
429,24,4,2016,168.94,173.0,26.43
430,24,4,2016,168.94,173.0,26.43
431,24,4,2016,104.12,104.12,29.02
432,24,4,2016,253.0,234.81,24.06
433,24,4,2016,248.94,249.0,29.05
434,24,4,2016,215.5,215.56,28.55
435,24,4,2016,253.0,234.81,24.06
436,24,4,2016,253.0,234.81,24.06
437,24,4,2016,253.0,234.81,24.06
438,24,4,2016,253.0,234.81,24.06
439,24,4,2016,215.5,215.56,28.55
440,24,4,2016,253.0,234.81,24.06
441,25,4,2016,181.69,181.56,25.66
